epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,20818.7,1.08649,0.56363,1.04304,0.86297,0.84001,0.88528,0.56489,0.73988,0.48888,0.93317,0.00714314,0.00714314,0.00714314
103,21022.6,1.08363,0.55629,1.03835,0.86223,0.83541,0.88184,0.5645,0.73816,0.48882,0.93253,0.00711486,0.00711486,0.00711486
104,21226.2,1.07852,0.55839,1.04236,0.86448,0.83785,0.88443,0.56672,0.7368,0.48933,0.93223,0.00708657,0.00708657,0.00708657
105,21430.2,1.08732,0.5642,1.04372,0.8675,0.83681,0.8843,0.56728,0.73533,0.48902,0.93148,0.00705829,0.00705829,0.00705829
106,21634.3,1.09413,0.55502,1.04131,0.86458,0.83514,0.88335,0.5668,0.73482,0.48712,0.93175,0.00703,0.00703,0.00703
107,21838.3,1.09381,0.55687,1.03955,0.86205,0.83589,0.88368,0.56684,0.73432,0.48532,0.93175,0.00700171,0.00700171,0.00700171
108,22042,1.08082,0.55382,1.04196,0.86671,0.83713,0.88432,0.5665,0.73566,0.48572,0.93218,0.00697343,0.00697343,0.00697343
109,22246.3,1.08329,0.55369,1.04075,0.86326,0.83736,0.88345,0.56551,0.73555,0.48761,0.93222,0.00694514,0.00694514,0.00694514
110,22450.8,1.07747,0.55553,1.03565,0.86085,0.83595,0.88165,0.56478,0.73469,0.48866,0.93246,0.00691686,0.00691686,0.00691686
111,22654.9,1.0884,0.55986,1.04167,0.86113,0.83491,0.87954,0.5639,0.73589,0.48814,0.93279,0.00688857,0.00688857,0.00688857
112,22859.8,1.07455,0.55953,1.04057,0.86089,0.83123,0.87955,0.56322,0.73645,0.48635,0.93314,0.00686029,0.00686029,0.00686029
113,23063.7,1.07972,0.55991,1.03603,0.85919,0.82913,0.87849,0.56335,0.73707,0.48759,0.93334,0.006832,0.006832,0.006832
114,23268,1.08535,0.55568,1.04046,0.85567,0.82806,0.87857,0.56248,0.73813,0.48747,0.93365,0.00680371,0.00680371,0.00680371
115,23471.6,1.07949,0.56095,1.04284,0.85997,0.8286,0.87838,0.5628,0.73714,0.48821,0.93337,0.00677543,0.00677543,0.00677543
116,23676,1.08135,0.55382,1.03712,0.8597,0.83064,0.87944,0.56471,0.7376,0.48887,0.93332,0.00674714,0.00674714,0.00674714
117,23879.5,1.07431,0.56086,1.03931,0.86117,0.83092,0.87984,0.56433,0.73799,0.48995,0.93342,0.00671886,0.00671886,0.00671886
118,24083.9,1.08489,0.55915,1.04032,0.8606,0.83331,0.88004,0.56448,0.73717,0.48964,0.9333,0.00669057,0.00669057,0.00669057
119,24288.4,1.08002,0.55064,1.03865,0.85912,0.83214,0.87825,0.56334,0.73603,0.48993,0.93301,0.00666229,0.00666229,0.00666229
120,24492.8,1.07542,0.55505,1.03961,0.85787,0.83242,0.87663,0.56171,0.73599,0.489,0.93301,0.006634,0.006634,0.006634
121,24696.5,1.08473,0.55813,1.03783,0.8573,0.83345,0.87897,0.56262,0.73654,0.48909,0.9327,0.00660571,0.00660571,0.00660571
122,24900.2,1.06382,0.53741,1.03443,0.8589,0.83544,0.87975,0.56244,0.73673,0.48789,0.93289,0.00657743,0.00657743,0.00657743
123,25104.8,1.07986,0.5624,1.04438,0.85699,0.83645,0.87915,0.56227,0.73693,0.4874,0.93246,0.00654914,0.00654914,0.00654914
124,25308.2,1.07855,0.55315,1.04112,0.85439,0.83701,0.87858,0.56244,0.73713,0.48806,0.93224,0.00652086,0.00652086,0.00652086
125,25512.7,1.08165,0.55422,1.04421,0.85421,0.83833,0.8799,0.56433,0.73722,0.48839,0.93234,0.00649257,0.00649257,0.00649257
126,25716.5,1.07229,0.5511,1.03331,0.85446,0.83832,0.87916,0.56358,0.73687,0.48889,0.93237,0.00646429,0.00646429,0.00646429
127,25920.7,1.07037,0.55227,1.03597,0.85671,0.83752,0.87966,0.56385,0.73645,0.48881,0.93206,0.006436,0.006436,0.006436
128,26124.4,1.0683,0.54643,1.03573,0.85623,0.8372,0.87945,0.56453,0.73595,0.48926,0.93216,0.00640771,0.00640771,0.00640771
129,26328.2,1.07387,0.55123,1.03465,0.85829,0.83708,0.88024,0.56472,0.7357,0.49056,0.93226,0.00637943,0.00637943,0.00637943
130,26531.6,1.08356,0.54573,1.03577,0.85878,0.83631,0.88079,0.56485,0.73564,0.4908,0.93214,0.00635114,0.00635114,0.00635114
131,26734.9,1.0768,0.55987,1.03987,0.85735,0.83486,0.87997,0.56469,0.73584,0.49072,0.93215,0.00632286,0.00632286,0.00632286
132,26938.1,1.07665,0.55773,1.03381,0.85799,0.83576,0.8806,0.56499,0.73589,0.48996,0.93214,0.00629457,0.00629457,0.00629457
133,27141.3,1.06739,0.54809,1.03449,0.85533,0.83518,0.87893,0.56488,0.73538,0.48959,0.93192,0.00626629,0.00626629,0.00626629
134,27344.8,1.07708,0.55634,1.04105,0.85594,0.83518,0.87859,0.56444,0.73525,0.48913,0.93205,0.006238,0.006238,0.006238
135,27549.2,1.07285,0.55747,1.03786,0.85597,0.83577,0.87843,0.56495,0.73485,0.48904,0.93185,0.00620971,0.00620971,0.00620971
136,27753.1,1.07926,0.55233,1.03534,0.85644,0.8345,0.87819,0.56528,0.73435,0.48953,0.93164,0.00618143,0.00618143,0.00618143
137,27956.9,1.06105,0.54777,1.03153,0.85541,0.83325,0.87738,0.56473,0.7337,0.48814,0.93165,0.00615314,0.00615314,0.00615314
138,28161.6,1.06146,0.54721,1.03207,0.85458,0.83142,0.87664,0.56392,0.73366,0.48843,0.93169,0.00612486,0.00612486,0.00612486
139,28365.3,1.08232,0.56194,1.03966,0.8542,0.8319,0.87704,0.56434,0.73368,0.48864,0.93162,0.00609657,0.00609657,0.00609657
140,28569.1,1.07196,0.5508,1.03404,0.85443,0.83147,0.87727,0.56452,0.73363,0.48841,0.93147,0.00606829,0.00606829,0.00606829
141,28772.2,1.06189,0.54661,1.03731,0.85394,0.83263,0.87799,0.56521,0.73361,0.48821,0.93146,0.00604,0.00604,0.00604
142,28975.7,1.06937,0.54773,1.03419,0.85472,0.83192,0.8781,0.56547,0.73333,0.48754,0.93111,0.00601171,0.00601171,0.00601171
143,29179.8,1.07326,0.54957,1.03212,0.85456,0.83148,0.87857,0.56584,0.73332,0.48792,0.93127,0.00598343,0.00598343,0.00598343
144,29383.4,1.05468,0.54303,1.02551,0.85333,0.83259,0.87817,0.56582,0.73285,0.48737,0.93114,0.00595514,0.00595514,0.00595514
145,29587.3,1.07518,0.55253,1.03706,0.85482,0.83308,0.87876,0.56607,0.73273,0.4873,0.93101,0.00592686,0.00592686,0.00592686
146,29791.5,1.06457,0.54041,1.03426,0.85485,0.83264,0.87848,0.56556,0.73285,0.48728,0.93106,0.00589857,0.00589857,0.00589857
147,29995.1,1.05546,0.54194,1.03176,0.85485,0.83243,0.87847,0.56605,0.73274,0.48752,0.93091,0.00587029,0.00587029,0.00587029
148,30197.8,1.0649,0.54023,1.03786,0.85621,0.8325,0.87858,0.56561,0.73271,0.48603,0.93083,0.005842,0.005842,0.005842
149,30401.4,1.0616,0.54082,1.03208,0.85394,0.83271,0.8778,0.56529,0.73268,0.48638,0.93081,0.00581371,0.00581371,0.00581371
150,30605.8,1.05509,0.54522,1.03403,0.85655,0.8321,0.87868,0.56562,0.73262,0.48644,0.93084,0.00578543,0.00578543,0.00578543
151,30809.4,1.06768,0.55252,1.03038,0.85714,0.8323,0.87862,0.56593,0.7325,0.4859,0.9308,0.00575714,0.00575714,0.00575714
152,31013.7,1.066,0.55347,1.02971,0.85675,0.83168,0.87861,0.56618,0.73278,0.48582,0.93064,0.00572886,0.00572886,0.00572886
153,31218.1,1.06531,0.54875,1.02822,0.85719,0.83186,0.87789,0.56586,0.73267,0.48561,0.93062,0.00570057,0.00570057,0.00570057
154,31422.9,1.06426,0.54746,1.03014,0.85721,0.83157,0.87728,0.56628,0.73222,0.48506,0.93046,0.00567229,0.00567229,0.00567229
155,31626.5,1.06881,0.55135,1.03276,0.85659,0.8301,0.87717,0.56623,0.73214,0.48527,0.93046,0.005644,0.005644,0.005644
