epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
115,23370.3,1.15589,0.58698,1.07432,0.79911,0.83328,0.87608,0.5531,0.76957,0.49345,0.94348,0.00677543,0.00677543,0.00677543
116,23572.3,1.15921,0.58088,1.06677,0.80723,0.82631,0.87767,0.55407,0.76851,0.49295,0.94318,0.00674714,0.00674714,0.00674714
117,23775.2,1.15362,0.58619,1.07113,0.81108,0.82585,0.87758,0.55355,0.76828,0.49399,0.94324,0.00671886,0.00671886,0.00671886
118,23978.3,1.15882,0.58025,1.06857,0.81489,0.82632,0.88061,0.55296,0.76783,0.49358,0.94317,0.00669057,0.00669057,0.00669057
119,24181.6,1.1615,0.57617,1.06834,0.8225,0.82736,0.8821,0.55342,0.76739,0.49432,0.9435,0.00666229,0.00666229,0.00666229
120,24383.5,1.14676,0.57242,1.06885,0.82547,0.82687,0.88062,0.55288,0.76709,0.49462,0.9432,0.006634,0.006634,0.006634
121,24587.3,1.15873,0.58124,1.06757,0.82205,0.82877,0.8811,0.55368,0.76748,0.49318,0.9432,0.00660571,0.00660571,0.00660571
122,24789.7,1.14017,0.56148,1.06271,0.82911,0.82741,0.88078,0.55331,0.76799,0.4931,0.94357,0.00657743,0.00657743,0.00657743
123,24993.7,1.15665,0.58545,1.07425,0.82477,0.83802,0.88352,0.55359,0.76793,0.49254,0.94357,0.00654914,0.00654914,0.00654914
124,25195.8,1.15158,0.57376,1.06783,0.82598,0.8368,0.88416,0.55417,0.76749,0.49216,0.94344,0.00652086,0.00652086,0.00652086
125,25399.5,1.15903,0.57462,1.06594,0.83027,0.83374,0.88701,0.55513,0.76739,0.49185,0.94314,0.00649257,0.00649257,0.00649257
126,25603.1,1.14439,0.57221,1.06226,0.82651,0.83483,0.88523,0.55567,0.76653,0.49278,0.9427,0.00646429,0.00646429,0.00646429
127,25807.2,1.14682,0.57571,1.06645,0.82785,0.83406,0.88507,0.55536,0.76582,0.49328,0.94236,0.006436,0.006436,0.006436
128,26009.6,1.14378,0.56761,1.06627,0.82931,0.8359,0.88501,0.5552,0.76646,0.49262,0.94266,0.00640771,0.00640771,0.00640771
129,26212.3,1.14978,0.57318,1.06669,0.82653,0.83795,0.88394,0.55526,0.76607,0.49222,0.94283,0.00637943,0.00637943,0.00637943
